time,knowing,avg_belief,disp
2919.0,0.01,1.0,0.9822691538052335
2920.0,0.01,1.0,0.9822691538052335
2921.0,0.01,1.0,0.9822691538052335
2922.0,0.01,1.0,0.9822691538052335
2923.0,0.01,1.0,0.9822691538052335
2924.0,0.01,1.0,0.9822691538052335
2925.0,0.01,1.0,0.9822691538052335
2926.0,0.01,1.0,0.9822691538052335
2927.0,0.01,1.0,0.9822691538052335
2928.0,0.01,1.0,0.9822691538052335
2929.0,0.01,1.0,0.9822691538052335
2930.0,0.01,1.0,0.9822691538052335
2931.0,0.01,1.0,0.9822691538052335
2932.0,0.01,1.0,0.9822691538052335
2933.0,0.01,1.0,0.9822691538052335
2934.0,0.01,1.0,0.9822691538052335
2935.0,0.01,1.0,0.9822691538052335
2936.0,0.01,1.0,0.9822691538052335
2937.0,0.01,1.0,0.9822691538052335
2938.0,0.01,1.0,0.9822691538052335
2939.0,0.01,1.0,0.9822691538052335
2940.0,0.01,1.0,0.9822691538052335
2941.0,0.01,1.0,0.9822691538052335
2942.0,0.01,1.0,0.9822691538052335
2943.0,0.01,1.0,0.9822691538052335
2944.0,0.01,1.0,0.9822691538052335
2945.0,0.01,1.0,0.9822691538052335
2946.0,0.01,1.0,0.9822691538052335
2947.0,0.01,1.0,0.9822691538052335
2948.0,0.01,1.0,0.9822691538052335
2949.0,0.01,1.0,0.9822691538052335
2950.0,0.01,1.0,0.9822691538052335
2951.0,0.01,1.0,0.9822691538052335
2952.0,0.01,1.0,0.9822691538052335
2953.0,0.01,1.0,0.9822691538052335
2954.0,0.01,1.0,0.9822691538052335
2955.0,0.01,1.0,0.9822691538052335
2956.0,0.01,1.0,0.9822691538052335
2957.0,0.01,1.0,0.9822691538052335
2958.0,0.01,1.0,0.9822691538052335
2959.0,0.01,1.0,0.9822691538052335
2960.0,0.01,1.0,0.9822691538052335
2961.0,0.01,1.0,0.9822691538052335
2962.0,0.01,1.0,0.9822691538052335
2963.0,0.01,1.0,0.9822691538052335
2964.0,0.01,1.0,0.9822691538052335
2965.0,0.01,1.0,0.9822691538052335
2966.0,0.01,1.0,0.9822691538052335
2967.0,0.01,1.0,0.9822691538052335
2968.0,0.01,1.0,0.9822691538052335
2969.0,0.01,1.0,0.9822691538052335
2970.0,0.01,1.0,0.9822691538052335
2971.0,0.01,1.0,0.9822691538052335
2972.0,0.01,1.0,0.9822691538052335
2973.0,0.01,1.0,0.9822691538052335
2974.0,0.01,1.0,0.9822691538052335
2975.0,0.01,1.0,0.9822691538052335
2976.0,0.01,1.0,0.9822691538052335
2977.0,0.01,1.0,0.9822691538052335
2978.0,0.01,1.0,0.9822691538052335
2979.0,0.01,1.0,0.9822691538052335
2980.0,0.01,1.0,0.9822691538052335
2981.0,0.01,1.0,0.9822691538052335
2982.0,0.01,1.0,0.9822691538052335
2983.0,0.01,1.0,0.9822691538052335
2984.0,0.01,1.0,0.9822691538052335
2985.0,0.01,1.0,0.9822691538052335
2986.0,0.01,1.0,0.9822691538052335
2987.0,0.01,1.0,0.9822691538052335
2988.0,0.01,1.0,0.9822691538052335
2989.0,0.01,1.0,0.9822691538052335
2990.0,0.01,1.0,0.9822691538052335
2991.0,0.01,1.0,0.9822691538052335
2992.0,0.01,1.0,0.9822691538052335
2993.0,0.01,1.0,0.9822691538052335
2994.0,0.01,1.0,0.9822691538052335
2995.0,0.01,1.0,0.9822691538052335
2996.0,0.01,1.0,0.9822691538052335
2997.0,0.01,1.0,0.9822691538052335
2998.0,0.01,1.0,0.9822691538052335
2999.0,0.01,1.0,0.9822691538052335
3000.0,0.01,1.0,0.9822691538052335
3001.0,0.01,1.0,0.9822691538052335
3002.0,0.01,1.0,0.9822691538052335
3003.0,0.01,1.0,0.9822691538052335
3004.0,0.01,1.0,0.9822691538052335
3005.0,0.01,1.0,0.9822691538052335
3006.0,0.01,1.0,0.9822691538052335
3007.0,0.01,1.0,0.9822691538052335
3008.0,0.01,1.0,0.9822691538052335
3009.0,0.01,1.0,0.9822691538052335
3010.0,0.01,1.0,0.9822691538052335
3011.0,0.01,1.0,0.9822691538052335
3012.0,0.01,1.0,0.9822691538052335
3013.0,0.01,1.0,0.9822691538052335
3014.0,0.01,1.0,0.9822691538052335
3015.0,0.01,1.0,0.9822691538052335
3016.0,0.01,1.0,0.9822691538052335
3017.0,0.01,1.0,0.9822691538052335
3018.0,0.01,1.0,0.9822691538052335
3019.0,0.01,1.0,0.9822691538052335
3020.0,0.01,1.0,0.9822691538052335
3021.0,0.01,1.0,0.9822691538052335
3022.0,0.01,1.0,0.9822691538052335
3023.0,0.01,1.0,0.9822691538052335
3024.0,0.01,1.0,0.9822691538052335
3025.0,0.01,1.0,0.9822691538052335
3026.0,0.01,1.0,0.9822691538052335
3027.0,0.01,1.0,0.9822691538052335
